interval_start_timestamp,channel_name,channel_id,readers,chatters,messages
2021-03-27T00:00:00+00:00,3v3-lft,755600199359135926,5,2,2
2021-03-27T00:00:00+00:00,tourney-info,755600762381533224,1,0,0
2021-03-27T00:00:00+00:00,partner-servers,760384722843992084,5,0,0
2021-03-27T00:00:00+00:00,read-me-first,760570219948933200,9,0,0
2021-03-27T00:00:00+00:00,genshin-impact,763856831352668200,53,9,159
2021-03-27T00:00:00+00:00,shib-logs,769716435256606780,3,0,0
2021-03-27T00:00:00+00:00,server-logs,769726914310832128,4,0,0
2021-03-27T00:00:00+00:00,cloud9-affiliate-discord,776812210039029760,87,1,9
2021-03-27T00:00:00+00:00,tournament-screen-shots,797346450018533396,30,4,10
2021-03-27T00:00:00+00:00,alea-3631,801588190506778664,1,0,0
2021-03-27T00:00:00+00:00,hearthstone-news,804056120242602024,1,0,0
2021-03-27T00:00:00+00:00,server-change-log,804522756430888990,36,1,1
2021-03-27T00:00:00+00:00,master-overwatch,807371190280519680,51,1,9
2021-03-27T00:00:00+00:00,team-fortress-2,815278846692818954,50,4,53
2021-03-27T00:00:00+00:00,vc-context,822423804335620146,43,5,11
